c instance by G2
c solution = 001000000011010011010110000001
c Known solution cost is 47 
p cnf 30 45
w 3 0 1 3 3 0 2 4 2 2 3 2 2 0 1 0 0 0 1 0 3 1 0 3 0 3 1 2 3 2
-29 -5 -18 0
23 26 8 0
-9 -16 5 0
6 -14 11 0
2 -19 8 0
21 5 -24 0
14 8 15 0
19 -22 -29 0
18 -11 2 0
-4 -18 -30 0
-28 -12 4 0
7 -27 -22 0
28 -10 15 0
27 -13 -3 0
2 7 -25 0
27 -2 13 0
-20 28 23 0
-26 -14 6 0
9 -5 15 0
-17 -12 3 0
-9 28 25 0
21 17 4 0
-14 21 30 0
25 -14 -15 0
13 28 -16 0
22 1 -20 0
-17 -30 -8 0
26 -29 -15 0
-1 -22 17 0
3 8 -11 0
17 -5 25 0
24 16 -21 0
-4 -20 28 0
13 -3 -6 0
-18 -1 -11 0
15 24 -28 0
20 2 21 0
12 -22 8 0
7 -28 -17 0
-19 27 9 0
-21 -1 17 0
13 25 -7 0
9 -30 14 0
-19 -28 -23 0
12 -14 25 0
