c instance by G2
c solution = 010110110001001
c Known solution cost is 84
p cnf 15 66
w 0 6 8 7 9 7 1 8 7 8 8 4 0 3 8
-3 -8 -11 0
-1 13 -5 0
-5 9 15 0
-4 14 12 0
10 9 7 0
-15 -10 3 0
13 -3 11 0
-13 12 15 0
-4 -8 2 0
10 -3 -4 0
12 3 -5 0
-11 15 4 0
-12 8 3 0
12 -5 -11 0
9 -5 -11 0
8 7 4 0
9 -15 4 0
4 7 5 0
-5 -11 13 0
-11 -15 -4 0
7 14 12 0
3 -5 8 0
-6 -8 -15 0
-11 4 7 0
3 5 10 0
-1 15 9 0
-2 5 8 0
-13 10 14 0
-13 -14 -2 0
6 -12 -10 0
-12 15 -7 0
-4 -3 -2 0
-3 7 4 0
4 -6 5 0
-14 -1 13 0
-7 15 12 0
-4 -12 7 0
2 -8 -10 0
10 -5 2 0
9 6 15 0
12 -5 2 0
-5 7 4 0
-13 -7 1 0
1 -3 -11 0
11 -8 -3 0
3 -7 15 0
-5 9 12 0
-9 6 12 0
11 -2 -9 0
2 -7 -4 0
-6 5 -9 0
3 -10 -12 0
-9 11 -15 0
4 -2 5 0
2 1 6 0
5 -10 -9 0
1 -15 4 0
-4 -14 9 0
1 13 -6 0
-10 13 -7 0
14 5 1 0
11 -1 -2 0
-10 -1 13 0
12 -11 2 0
-8 3 2 0
9 -10 -13 0
